"Aizenberg Group","http://www.seas.harvard.edu/aizenberg_lab/research.html","Biomimetics, self-assembly, adaptive materials, crystal engineering, surface wettability, nanofabrication, biooptics, biomaterials, and biomechanics."
"Anderson Group","http://www.arp.harvard.edu/","Climate Change & Atmospheric Chemistry, Carbon Isotopic Fluxes, High Accuracy Climate Observation and Climate Forecast Testing, Photochemistry & Kinetics."
"Aspuru-Guzik Group","http://aspuru.chem.harvard.edu/","The Clean Energy Project, Open Quantum Systems and Quantum Algorithms, Excitonics, Electronic Structure Theory, Quantum Simulation."
"Balskus Group","http://scholar.harvard.edu/balskus/pages/research","Our work will encompass the elucidation and study of biosynthetic pathways and enzymes as well as the development of synthetic methods that are compatible with microbial chemistry."
"Betley Group","http://www.chem.harvard.edu/groups/betley/home.html","Iron-mediated, catalytic C-H bond functionalization, Polynuclear complexes for cooperative redox chemistry."
"Cohen Group","http://www.people.fas.harvard.edu/~aecohen/","Fluorescent voltage indicators derived from microbial rhodopsins, Optical chirality and its interaction with matter, Microbial and molecular motion in mucus, Trapping single molecules, Quantum control with magnetic fields in liquids at room temperature, Science education in Liberia."
"Evans Group","http://www.chem.harvard.edu/faculty/evans.html","Total organic Synthesis, New Metal Catalyzed Reactions."
"Friend Group","http://seas.harvard.edu/friend","Modeling the Dynamics of Surfaces Upon Absorption of Atoms and Molecules, The Effect of Water on Reactions over Oxide Surfaces, Using Au(111) to add NH to Olefins, Formation of Carbon-heteroatom Bonds from Olefins on the Surfaces of Noble Metals, Atomistic Studies of Reactions on Surfaces."
"Gordon Group","http://www.chem.harvard.edu/groups/gordon/index.html","Precursor Design, Atomic Layer Deposition, Theoretical modeling, thin films."
"Heller Group","http://monsoon.harvard.edu/","ultracold atom-atom, atom-surface, and three body collisions; two-dimensional scattering theory of quantum dots, surface state electron \'\'quantum corral\'\' scattering from defects and adsorbed atoms on metal surfaces, localization theory of eigenstates, semiclassical theory of tunneling and diffraction, and quantum correspondence to classical chaos (scars, spectra, wavefunctions, dynamics)."
"Holm Group","http://www.chem.harvard.edu/groups/holm/","Clusters of Nitrogenase, Clusters of CODH, Mo/W Oxotransferases, Fe-Nitride Chemistry."
"Jacobsen Group","http://www.chem.harvard.edu/groups/Jacobsen/index.html","Asymmetric Catalysis, Selective C- C Bond Formation and Cleavage, Enzymatic Oxidations, Mimics of Physiologically Important Enzymes, New Approaches to Catalyst Design."
"Kahne Group","http://www.chem.harvard.edu/groups/kahne/","Bacterial Cell Wall Biosynthesis and Degradation, Inhibitory Mechanisms of Moenomycin A, Biogenesis of the Outer Membrane of Gram-negative Bacteria."
"Lieber Group","http://cml.harvard.edu/","New materials, nano-bio interface, nanoelectronics and computing, Nano-enabled energy."
"Liu Group","http://evolve.harvard.edu/"," Synthetic Regulatory Elements, Directed Evolution, Supercharged Proteins as a General Macromolecule Delivery Platform, Structures and Functions in Cellular Nucleic Acids, Cellular CoA-RNA, NAD-RNA, Geranylated RNA, DNA-Templated Synthesis."
"Myers Group","http://www.chem.harvard.edu/faculty/myers.html","Organic chemical synthesis, Tetracyclines, Avrainvillamides, Trioxacarcins, Cortistatins, Daphniglaucins."
"O\'Shea Group","http://mcb.harvard.edu/o\'shea/","The Phosphate-Responsive Signaling Pathway, The Logic and Evolution of Transcriptional Control, The Cyanobacterial Circadian Clock."
"Park Group","http://www.people.fas.harvard.edu/~hpark/index.html","Nanoscale Electronics, Optoelectronics, and Plasmonics, Nanoscale Tools for Cell and Neurobiology."
"Ritter Group","http://www.chem.harvard.edu/groups/ritter/","Functional Group-Tolerant Late-Stage Carbon-Fluorine Bond Formation, Redox Catalysis."
"Saghatelian Group","http://web.me.com/saghatelian/Saghatelian_Lab/Home.html","Peptidomics, Metabolomics."
"Schreiber Group","http://www.broad.harvard.edu/chembio/lab_schreiber/index.html","Next-generation synthetic chemistry, small-molecule screening collection, genes to therapeutics through chromatin, Diabetes and cancer."
"Shair Group","http://www.chem.harvard.edu/research/faculty/matthew_shair","organic chemistry synthesis."
"Shakhnovich Group","http://paradox.harvard.edu/","Protein folding and design, Molecular Evolution, Drug Discovery, computational system biology."
"Verdine Group","http://verdinelab.harvard.edu/","Protein Catalysis on DNA, Peptide Stapling, RNA Targeting."
"Whitesides Group","http://gmwgroup.harvard.edu/","Bioanalytics, Biophysics, complexity and simplicity, dissipative systems, electrets, flames, info chemistry, materials and programmable matter, microfluidics, molecular electronics, self-assembly, soft lithography and unconventional nanofabrication, soft robotics, The chemical origin of life, Zero-cost diagnostics."
"Xie Group","http://bernstein.harvard.edu/","single molecule spectroscopy and imaging, single molecule enzymology, Coherent Anti-Stoke Raman Scattering (CARS) microscopy, single cell genomics."
"Zhuang Group","http://zhuang.harvard.edu/","Nanoscopic Optical Imaging, Single-molecule biology: Nucleic Acid - Protein Interactions, Single-virus tracking: Virus-cell Interactions."
"Berg, Howard C.","http://www.mcb.harvard.edu/mcb/faculty/profile/howard-c-berg/","Motile behavior of bacteria: sensory transduction in bacterial chemotaxis (in E. coli), dynamics of the flagellar rotary motor, propulsion of non-flagellated bacteria."
